id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,639,188,0.38035714285714284,0.008663993732430066,410,54,Text
1,746,250,0.444047619047619,0.011521268261210194,194,17,Text
2,287,6,0.17083333333333334,0.00027651043826904464,692,40,Navigation Menu
3,1006,2,0.5988095238095238,0.00009217014608968155,140,42,Input field
4,1190,6,0.7083333333333334,0.00027651043826904464,27,28,Icon
5,1297,9,0.7720238095238096,0.00041476565740356696,23,26,Icon
6,1331,10,0.7922619047619047,0.00046085073044840777,25,22,Icon
7,1260,9,0.75,0.00041476565740356696,30,27,Icon
8,1023,69,0.6089285714285714,0.0031798700400940136,142,53,Button
9,2,350,0.0011904761904761906,0.01612977556569427,1349,498,Image
10,606,716,0.3607142857142857,0.032996912300106,462,99,Text
11,704,919,0.41904761904761906,0.042352182128208675,274,20,Text
12,790,1233,0.47023809523809523,0.05682289506428868,333,43,Input field
13,404,1216,0.24047619047619048,0.056039448822526386,866,84,Form
14,462,1246,0.275,0.057422001013871606,309,20,Text
15,1140,1241,0.6785714285714286,0.0571915756486474,82,32,Button
16,403,984,0.2398809523809524,0.045347711876123326,113,132,Image
17,702,978,0.41785714285714287,0.04507120143785428,119,143,Image
18,1004,977,0.5976190476190476,0.04502511636480944,124,143,Image
19,307,1465,0.18273809523809523,0.06751463201069173,650,64,Text
20,574,1392,0.3416666666666667,0.06415042167841836,122,20,Text
21,575,1419,0.34226190476190477,0.06539471865062906,121,13,Line
22,307,1548,0.18273809523809523,0.07133969307341352,660,876,Image
23,306,2433,0.18214285714285713,0.11212498271809761,661,211,Text
