id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1135,395,0.6755952380952381,0.009718770760032478,169,38,Input field
1,954,752,0.5678571428571428,0.018502571168466896,160,247,Navigation Menu
2,355,1190,0.2113095238095238,0.02927933469478139,531,115,Text
3,949,1075,0.5648809523809524,0.026449819157050414,168,23,Line
4,955,1503,0.5684523809523809,0.036980537853997,166,28,Line
5,954,1751,0.5678571428571428,0.04308244962232119,160,38,Input field
6,1004,1848,0.5976190476190476,0.04546908446718992,62,61,Icon
7,1137,3267,0.6767857142857143,0.08038284575449647,167,606,Image
8,1141,3799,0.6791666666666667,0.09347243067686932,155,36,Text
9,1143,3298,0.6803571428571429,0.081145584725537,157,42,Text
10,356,375,0.2119047619047619,0.009226681101296656,538,802,Image
11,359,1318,0.21369047619047618,0.03242870851069065,537,363,Image
