id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,744,42,0.44285714285714284,0.004671338004671338,532,47,Navigation Menu
1,1284,44,0.7642857142857142,0.004893782671560449,45,41,Icon
2,333,32,0.1982142857142857,0.0035591146702257815,318,53,Text
3,335,86,0.19940476190476192,0.009565120676231787,1011,12,Line
4,338,207,0.2011904761904762,0.023023023023023025,656,388,Image
5,334,605,0.1988095238095238,0.06728951173395618,660,129,Text
6,1056,768,0.6285714285714286,0.08541875208541876,299,303,List
7,1057,775,0.6291666666666667,0.08619730841953065,83,53,Image
8,1058,831,0.6297619047619047,0.09242575909242576,81,56,Image
9,1056,890,0.6285714285714286,0.09898787676565454,84,55,Image
10,1056,949,0.6285714285714286,0.10554999443888333,84,59,Image
11,1056,1011,0.6285714285714286,0.11244577911244578,85,56,Image
12,1141,772,0.6791666666666667,0.08586364141919697,162,18,Text
13,1139,833,0.6779761904761905,0.09264820375931487,199,39,Text
14,1139,889,0.6779761904761905,0.09887665443220998,171,21,Text
15,1139,953,0.6779761904761905,0.10599488377266154,214,42,Text
16,1141,1014,0.6791666666666667,0.11277944611277944,126,18,Text
17,335,818,0.19940476190476192,0.09097986875764653,663,14,Line
18,337,917,0.2005952380952381,0.10199087976865755,657,376,Video
19,337,1305,0.2005952380952381,0.14514514514514515,650,213,Text
20,1059,432,0.6303571428571428,0.04804804804804805,46,45,Icon
21,1126,431,0.6702380952380952,0.04793682571460349,48,48,Icon
22,1189,430,0.7077380952380953,0.04782560338115894,52,50,Icon
23,1258,429,0.7488095238095238,0.04771438104771438,50,52,Icon
