id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,37,2,0.02182890855457227,0.00032030749519538755,493,57,Navigation Menu
1,717,240,0.4230088495575221,0.03843689942344651,266,61,Text
2,1419,304,0.8371681415929203,0.04868673926969891,128,37,Text
3,1320,356,0.7787610619469026,0.057014734144778985,24,28,Icon
4,1346,355,0.7941002949852507,0.0568545803971813,29,30,Icon
5,1376,357,0.8117994100294985,0.05717488789237668,30,29,Icon
6,1406,355,0.8294985250737463,0.0568545803971813,30,30,Icon
7,1279,979,0.7545722713864307,0.15679051889814222,261,48,Input field
8,9,1232,0.005309734513274336,0.19730941704035873,709,37,Text
9,9,1313,0.005309734513274336,0.21028187059577194,1212,52,Text
10,12,1455,0.007079646017699115,0.23302370275464446,304,188,Image
11,13,1640,0.007669616519174041,0.2626521460602178,302,155,Image
12,313,1606,0.18466076696165193,0.2572069186418962,304,188,Image
13,314,1457,0.18525073746312684,0.23334401024983983,301,151,Image
14,1465,3,0.8643067846607669,0.0004804612427930814,178,43,Input field
15,1649,11,0.9728613569321534,0.0017616912235746316,25,33,Icon
16,12,1808,0.007079646017699115,0.2895579756566304,343,77,Text
17,13,1902,0.007669616519174041,0.30461242793081356,1249,80,Text
