id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1033,358,0.6148809523809524,0.029452900041135335,246,204,List
1,394,176,0.23452380952380952,0.014479638009049774,895,47,Navigation Menu
2,405,465,0.24107142857142858,0.03825586178527355,354,35,Text
3,405,500,0.24107142857142858,0.04113533525298231,594,8,Line
4,404,527,0.24047619047619048,0.043356643356643354,362,199,Text
5,769,534,0.4577380952380952,0.043932538050185106,221,198,Image
6,782,687,0.4654761904761905,0.056519950637597696,198,37,Text
7,404,738,0.24047619047619048,0.06071575483340189,465,30,Text
8,402,772,0.2392857142857143,0.06351295763060469,106,33,Text
9,408,835,0.24285714285714285,0.06869600987248047,589,28,Line
10,405,862,0.24107142857142858,0.07091731797614151,574,29,Text
11,404,896,0.24047619047619048,0.0737145207733443,598,7,Line
12,1031,979,0.6136904761904762,0.08054298642533937,245,281,List
