id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,1,2,0.0005952380952380953,0.0003379520108144643,1681,604,Image
1,335,251,0.19940476190476192,0.042412977357215276,324,97,Text
2,299,619,0.17797619047619048,0.10459614734707672,741,59,Navigation Menu
3,0,693,0,0.1171003717472119,1679,448,Image
4,40,921,0.023809523809523808,0.15562690098006082,848,88,Text
5,38,1011,0.02261904761904762,0.17083474146671174,909,63,Text
6,34,1074,0.02023809523809524,0.18148022980736736,46,41,Image
7,83,1078,0.0494047619047619,0.1821561338289963,76,32,Text
8,1008,1139,0.6,0.19246367015883745,671,354,Image
9,1043,1355,0.6208333333333333,0.2289624873267996,564,66,Text
10,1090,1428,0.6488095238095238,0.24129773572152755,146,33,Text
11,0,1493,0,0.25228117607299766,1680,450,Image
12,34,1721,0.02023809523809524,0.29080770530584654,877,46,Text
13,35,1766,0.020833333333333332,0.298411625549172,335,48,Text
14,35,1810,0.020833333333333332,0.30584656978709024,920,63,Text
15,82,1878,0.04880952380952381,0.31733693815478203,95,35,Text
16,35,1874,0.020833333333333332,0.3166610341331531,48,40,Image
