id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,269,178,0.1601190476190476,0.05602769908718917,733,53,Navigation Menu
1,267,232,0.15892857142857142,0.07302486622599937,1146,10,Line
2,267,165,0.15892857142857142,0.05193578847969783,1146,13,Line
3,297,50,0.1767857142857143,0.015738117721120555,330,41,Text
4,392,90,0.23333333333333334,0.028328611898016998,150,32,Text
5,266,337,0.15833333333333333,0.10607491344035254,208,307,Image
6,491,337,0.2922619047619048,0.10607491344035254,488,61,Text
7,491,407,0.2922619047619048,0.1281082782499213,534,263,Text
8,1047,423,0.6232142857142857,0.13314447592067988,367,335,Form
9,1048,549,0.6238095238095238,0.17280453257790368,366,51,Input field
10,1047,487,0.6232142857142857,0.1532892666037142,366,62,Text
11,1046,640,0.6226190476190476,0.20144790683034308,107,45,Input field
12,1170,702,0.6964285714285714,0.22096317280453256,119,51,Button
13,1048,337,0.6238095238095238,0.10607491344035254,41,41,Icon
14,1089,336,0.6482142857142857,0.10576015108593012,41,42,Icon
15,1130,337,0.6726190476190477,0.10607491344035254,41,42,Icon
16,1170,338,0.6964285714285714,0.10638967579477494,42,41,Icon
17,1210,338,0.7202380952380952,0.10638967579477494,45,41,Icon
