id,x_abs,y_abs,x_rel,y_rel,width,height,label
0,351,237,0.20892857142857144,0.006209390064975896,445,29,Text
1,355,285,0.2113095238095238,0.007466988052819115,705,821,Image
2,1120,1030,0.6666666666666666,0.026985956822469084,39,40,Icon
3,1210,1030,0.7202380952380952,0.026985956822469084,40,41,Icon
4,1087,1287,0.6470238095238096,0.03371934604904632,243,48,Input field
5,1086,1356,0.6464285714285715,0.03552714315657095,121,48,Button
6,1112,1460,0.6619047619047619,0.03825193879689792,201,281,Form
7,1119,1593,0.6660714285714285,0.04173653322154684,177,62,Input field
8,1119,1661,0.6660714285714285,0.043518130370991406,137,60,Button
9,352,1628,0.20952380952380953,0.042653531754349196,342,449,Image
10,720,1628,0.42857142857142855,0.042653531754349196,341,453,Image
11,1086,2203,0.6464285714285715,0.05771850765038776,243,55,Input field
12,353,1163,0.21011904761904762,0.030470551247118005,709,451,Text
13,1086,1154,0.6464285714285715,0.030234751624397403,243,15,Line
14,1080,231,0.6428571428571429,0.006052190316495494,151,94,Navigation Menu
15,1088,391,0.6476190476190476,0.010244183609306226,243,16,Line
16,350,174,0.20833333333333334,0.004558792705931671,978,10,Line
