,id,x_abs,y_abs,x_rel,y_rel,width,height,label,filename,aspect_ratio,n_colors,contrast
0,0.0,420.0,119.0,0.25,0.0156352647484,644.0,63.0,5,10-best-memories-2014,10.2222222222,58.0,0.0288376220053
1,1.0,1070.0,118.0,0.636904761905,0.015503875969,216.0,63.0,3,10-best-memories-2014,3.42857142857,2.0,0.00587889476778
2,2.0,606.0,1408.0,0.360714285714,0.184995401393,811.0,192.0,4,10-best-memories-2014,4.22395833333,752.0,0.144080096589
3,3.0,488.0,1717.0,0.290476190476,0.225594534227,226.0,226.0,2,10-best-memories-2014,1.0,890.0,0.131118333464
4,4.0,718.0,2122.0,0.427380952381,0.278806989883,229.0,228.0,2,10-best-memories-2014,1.00438596491,648.0,0.181433386961
5,5.0,486.0,5081.0,0.289285714286,0.667586388122,347.0,516.0,2,10-best-memories-2014,0.672480620155,3624.0,0.0889015481536
7,7.0,1277.0,7149.0,0.760119047619,0.939298383918,25.0,24.0,1,10-best-memories-2014,1.04166666667,4.0,0.158333333333
8,8.0,1330.0,7148.0,0.791666666667,0.939166995139,24.0,23.0,1,10-best-memories-2014,1.04347826087,12.0,0.197463768116
10,10.0,708.0,7268.0,0.421428571429,0.954933648666,645.0,97.0,3,10-best-memories-2014,6.64948453608,45.0,0.0583712938544
11,11.0,705.0,7368.0,0.419642857143,0.968072526606,650.0,33.0,3,10-best-memories-2014,19.696969697,12.0,0.0686713286713
12,12.0,705.0,7405.0,0.419642857143,0.972933911444,325.0,29.0,3,10-best-memories-2014,11.2068965517,12.0,0.088275862069
13,13.0,1037.0,7404.0,0.617261904762,0.972802522665,318.0,28.0,3,10-best-memories-2014,11.3571428571,10.0,0.0635669362084
14,14.0,1035.0,7426.0,0.616071428571,0.975693075811,319.0,42.0,0,10-best-memories-2014,7.59523809524,21.0,0.112778026571
15,15.0,796.0,7472.0,0.47380952381,0.981736959664,92.0,70.0,0,10-best-memories-2014,1.31428571429,10.0,0.102329192547
16,16.0,623.0,6931.0,0.370833333333,0.910655630009,544.0,122.0,4,10-best-memories-2014,4.45901639344,473.0,0.138093659595
